id,name,year,conference,conference_filtered,conference_type,conference_type_num,tourn_bid,tourn_bid_num,seed,seed_type,seed_type_num,fast_break_pts,points_off_turnovers,second_chance_pts,minutes,points,off_rebounds,def_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,flagrant_fouls,blocked_att,field_goals_made,field_goal_pct,field_goals_att,three_points_made,three_points_pct,three_points_att,free_throws_made,free_throws_pct,free_throws_att,two_points_made,two_points_pct,two_points_att,points_in_paint,efficiency,true_shooting_att,true_shooting_pct,opp_fast_break_pts,opp_points_off_turnovers,opp_second_chance_pts,opp_minutes,opp_points,opp_off_rebounds,opp_def_rebounds,opp_rebounds,opp_assists,opp_steals,opp_blocks,opp_turnovers,opp_personal_fouls,opp_flagrant_fouls,opp_blocked_att,opp_field_goals_made,opp_field_goal_pct,opp_field_goals_att,opp_three_points_made,opp_three_points_pct,opp_three_points_att,opp_free_throws_made,opp_free_throws_pct,opp_free_throws_att,opp_two_points_made,opp_two_points_pct,opp_two_points_att,opp_points_in_paint,opp_efficiency,opp_true_shooting_att,opp_true_shooting_pct,tourn_games_played,tourn_games_played_num,log_tourn_games_played,log2_tourn_games_played,tourn_fast_break_pts,tourn_points_off_turnovers,tourn_second_chance_pts,tourn_minutes,tourn_points,tourn_off_rebounds,tourn_def_rebounds,tourn_rebounds,tourn_assists,tourn_steals,tourn_blocks,tourn_turnovers,tourn_personal_fouls,tourn_flagrant_fouls,tourn_blocked_att,tourn_field_goals_made,tourn_field_goal_pct,tourn_field_goals_att,tourn_three_points_made,tourn_three_points_pct,tourn_three_points_att,tourn_free_throws_made,tourn_free_throws_pct,tourn_free_throws_att,tourn_two_points_made,tourn_two_points_pct,tourn_two_points_att,tourn_points_in_paint,tourn_efficiency,tourn_true_shooting_att,tourn_opp_fast_break_pts,tourn_opp_points_off_turnovers,tourn_opp_second_chance_pts,tourn_opp_minutes,tourn_opp_points,tourn_opp_off_rebounds,tourn_opp_def_rebounds,tourn_opp_rebounds,tourn_opp_assists,tourn_opp_steals,tourn_opp_blocks,tourn_opp_turnovers,tourn_opp_personal_fouls,tourn_opp_flagrant_fouls,tourn_opp_blocked_att,tourn_opp_field_goals_made,tourn_opp_field_goal_pct,tourn_opp_field_goals_att,tourn_opp_three_points_made,tourn_opp_three_points_pct,tourn_opp_three_points_att,tourn_opp_free_throws_made,tourn_opp_free_throws_pct,tourn_opp_free_throws_att,tourn_opp_two_points_made,tourn_opp_two_points_pct,tourn_opp_two_points_att,tourn_opp_points_in_paint,tourn_opp_efficiency,tourn_opp_true_shooting_att,tourn_point_diff,wins,win_pct,losses,home_wins,home_win_pct,home_losses,away_wins,away_wins_pct,away_losses,neut_wins,neut_win_pct,neut_losses,owp,oowp,awp,awp_num,sos,rpi,year
e9ca48b2-00ba-41c0-a02b-6885a2da1ff1,North Carolina Tar Heels_2018,2018,ACC,ACC,power 6,1,at-large,1,1,high,1,12.81,16.31,15,200.7,85.8,11.53,28.97,40.5,18.8,7,3.33,13.08,16.97,0.08,4.69,31.06,0.464,66.94,8.67,0.362,23.94,15.03,0.743,20.22,22.39,0.521,43,36.22,101.31,75.84,0.566,7.81,14.22,8.75,200.7,73.2,7.75,22.81,30.56,14.1,6.72,4.72,13.92,17.53,0.08,3.36,26,0.416,62.47,9.17,0.335,27.36,12.06,0.679,17.75,16.83,0.479,35.11,29.08,73.22,70.28,0.521,3,2,1.098612289,1.584962501,7,11.67,18.67,200,83,14.67,28.67,43.33,16.7,5,1,13.67,15,0,4,31.67,0.468,67.67,7.67,0.324,23.67,12,0.766,15.67,24,0.545,44,40,95.67,74.56,8.33,18.33,5.67,200,76.3,5.33,20.67,26,13.3,7,4,11.67,13.67,0.33,1,27,0.448,60.33,13.67,0.383,35.67,8.67,0.619,14,13.33,0.54,24.67,22.67,76.33,66.49,6.7,29,0.806,7,14,0.875,2,11,0.917,1,4,0.5,4,0.6082,0.5592,0.7898,2,0.5919,0.6413,2018
1f99a164-d593-4d81-85d5-0d7889d6f486,Houston Cougars_2018,2018,American,other,other,2,at-large,1,3,high,1,13.68,15.08,12,200,75.3,10.7,26.11,36.81,14.8,6.49,4.35,11.11,19.08,0.08,1.92,26.54,0.446,59.54,9,0.355,25.38,13.24,0.703,18.84,17.54,0.513,34.16,28.65,88.08,67.83,0.555,7.97,11,8.7,200,61,7.92,21.41,29.32,10.1,5.27,2.22,12.24,17.35,0.08,3.92,20.24,0.368,55,6.3,0.279,22.59,14.24,0.694,20.51,13.95,0.43,32.41,22.11,54.68,64.03,0.477,3,2,1.098612289,1.584962501,13.33,9.67,9.33,200,72,8.67,25.33,34,14.3,7,2.67,8,19,0,0.67,26.67,0.462,57.67,6.67,0.294,22.67,12,0.72,16.67,20,0.571,35,32,86.33,65,7,9.67,7,200,58.7,7.33,21.67,29,9.3,4.67,1,11.67,14.67,0,2.67,19.67,0.381,51.67,6.67,0.313,21.33,12.67,0.731,17.33,13,0.429,30.33,20,54.33,59.29,13.3,33,0.892,4,20,0.952,1,10,0.909,1,3,0.6,2,0.5636,0.529,0.8788,1,0.552,0.6337,2018
255c2a87-40c0-4989-bbb9-d286aac5d28e,Iona Gaels_2018,2018,MAAC,other,other,2,automatic,2,16,lowest,4,9.58,15.91,8.73,200,76.7,7.18,23.58,30.76,13.1,6.76,2.73,12.36,17.09,0.06,0.82,25.97,0.452,57.48,9,0.351,25.61,15.79,0.746,21.18,16.97,0.532,31.88,28.42,80.79,66.8,0.574,8.58,13.24,10.88,200,76,9.61,24.27,33.88,15.1,5.39,3.58,13.21,18.7,0.03,0.39,27.27,0.445,61.24,9.52,0.367,25.97,11.94,0.684,17.45,17.76,0.504,35.27,30.24,81.27,68.92,0.551,1,1,0,0,4,12,3,200,73,1,22,23,11,6,1,12,14,1,0,22,0.4,55,15,0.366,41,14,0.933,15,7,0.5,14,10,68,61.6,11,12,25,200,88,17,31,48,16,3,0,12,16,0,1,35,0.467,75,7,0.318,22,11,0.733,15,28,0.528,53,48,99,81.6,-15,17,0.515,16,8,0.727,3,5,0.357,9,4,0.5,4,0.4735,0.4821,0.5374,3,0.4763,0.4916,2018
7672ff16-8436-47e6-8546-0fb5494ec7ee,Utah State Aggies_2018,2018,Mountain West,other,other,2,automatic,2,8,high mid,2,7.37,15.09,11.8,201.4,78.7,9.26,27.51,36.77,17.1,6.14,4.2,12.8,18.6,0,3.26,27.43,0.471,58.29,7.83,0.355,22.06,15.97,0.748,21.34,19.6,0.541,36.23,33.54,93.83,67.68,0.581,5.6,11.94,8,201.4,67.1,6.37,21.69,28.06,11.5,6.17,3.43,12.49,19.57,0.09,3.89,22.57,0.393,57.4,8.06,0.353,22.86,13.91,0.714,19.49,14.51,0.42,34.54,22.8,63.4,65.97,0.509,1,1,0,0,3,18,11,200,61,11,18,29,13,3,4,21,18,0,6,19,0.352,54,7,0.35,20,16,0.8,20,12,0.353,34,18,50,62.8,7,26,11,200,78,7,22,29,14,10,6,15,18,0,4,25,0.49,51,10,0.588,17,18,0.857,21,15,0.441,34,26,93,60.24,-17,27,0.794,7,13,0.929,1,9,0.692,4,5,0.714,2,0.543,0.503,0.8141,2,0.5297,0.6008,2018
aef5e386-d8e8-460c-8014-3a2f090fd988,Seton Hall Pirates_2018,2018,Big East,Big East,power 6,1,at-large,1,10,low,3,11,13.97,9.79,202.2,73.8,9.09,23.56,32.65,13.5,6.91,3.88,12.38,18.82,0.09,4.44,26.12,0.439,59.44,7.06,0.324,21.79,14.47,0.706,20.5,19.06,0.506,37.65,34.29,78.97,68.46,0.539,6.88,13.85,9.82,202.2,71.9,8.41,23.71,32.12,13.2,5.74,4.41,14,18.29,0.15,3.88,24.88,0.428,58.09,7.94,0.34,23.32,14.15,0.742,19.06,16.94,0.487,34.76,26.94,75.21,66.47,0.54,1,1,0,0,24,5,8,200,68,10,21,31,12,4,3,13,19,0,4,25,0.403,62,9,0.333,27,9,0.6,15,16,0.457,35,26,62,68.6,3,20,16,200,84,6,20,26,11,3,4,9,14,1,3,26,0.481,54,13,0.464,28,19,0.826,23,13,0.5,26,18,87,64.12,-16,20,0.588,14,11,0.733,4,3,0.273,8,6,0.75,2,0.5688,0.5353,0.5753,3,0.5577,0.5621,2018
94ea835b-8ce9-4de2-a5b1-971548fea974,Georgia State Panthers_2018,2018,Sun Belt,other,other,2,automatic,2,14,lowest,4,9.44,17.18,8.32,200,76.4,7.09,22.91,30,12.2,7.88,4.65,11.47,17.15,0,1.03,26.56,0.459,57.85,9.71,0.385,25.24,13.59,0.666,20.41,16.85,0.517,32.62,30.24,81.56,66.83,0.572,8.62,12,12.29,200,73.3,10.74,25.03,35.76,15.1,4.97,3.18,15.06,17.5,0,0.88,25.65,0.425,60.32,8.94,0.329,27.21,13.03,0.702,18.56,16.71,0.505,33.12,27.76,76.97,68.49,0.535,1,1,0,0,8,11,3,200,55,6,18,24,5,6,1,7,11,0,5,18,0.3,60,6,0.261,23,13,0.765,17,12,0.324,37,20,38,67.48,14,4,10,200,84,12,34,46,22,3,5,11,14,0,1,33,0.516,64,8,0.276,29,10,0.769,13,25,0.714,35,40,115,69.72,-29,23,0.697,10,12,0.923,1,7,0.5,7,4,0.667,2,0.5069,0.4993,0.7343,2,0.5044,0.5619,2018
9916713f-b243-452b-93ae-a2c3ccabf68b,Wofford Terriers_2018,2018,Southern,other,other,2,automatic,2,7,high mid,2,9.86,15.89,13.17,201.4,82.3,9.74,23.77,33.51,15.1,6.66,3,10.77,16.83,0.03,1.09,29.83,0.49,60.91,11,0.414,26.54,11.6,0.703,16.49,18.83,0.548,34.37,31.26,93.77,68.17,0.603,8.4,11.26,7.49,201.4,65.6,6.83,20.29,27.11,11.4,5.46,2.51,13.74,15.49,0.06,0.86,23.37,0.425,54.97,7.09,0.321,22.09,11.74,0.703,16.71,16.29,0.495,32.89,26.94,61.71,62.33,0.526,2,2,0.6931471806,1,3.5,14.5,13,200,70,7.5,20.5,28,10.5,3,3,9,15.5,0.5,2,23.5,0.427,55,10.5,0.382,27.5,12.5,0.781,16,13,0.473,27.5,16,70.5,62.04,14.5,7,8,200,65,9,23,32,10.5,5.5,2,11,16,0,3,23,0.404,57,6,0.3,20,13,0.743,17.5,17,0.459,37,22,65.5,64.7,5,27,0.844,5,12,0.923,1,11,0.786,3,4,0.8,1,0.5233,0.5083,0.8636,1,0.5183,0.6046,2018
0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,Auburn Tigers_2018,2018,SEC,SEC,power 6,1,automatic,2,5,high mid,2,11,21.53,11.53,201.9,79.7,10.2,21.1,31.3,14.3,9.23,4.75,11.65,18.38,0.13,3.63,27.43,0.45,60.98,11.35,0.377,30.1,13.5,0.711,19,16.08,0.521,30.88,29.55,88.58,69.34,0.575,7.6,11.4,10.2,201.9,68.8,9.05,22.9,31.95,12.3,5.65,3.6,17.1,17.28,0.18,4.73,23.5,0.437,53.83,8.08,0.345,23.43,13.68,0.707,19.35,15.43,0.508,30.4,26,69.13,62.34,0.551,5,3,1.609437912,2.321928095,13,16.2,9.2,205,80.6,7.6,21,28.6,13.6,7.8,4.2,8.4,19,0,3.8,28.2,0.464,60.8,11.6,0.382,30.4,12.6,0.692,18.2,16.6,0.546,30.4,30,88.2,68.81,9.2,8.2,10.4,205,73.2,10.2,24.8,35,14.4,4.6,3.8,13.6,16.6,0,4.2,26.4,0.46,57.4,6.4,0.286,22.4,14,0.7,20,20,0.571,35,35.6,80.4,66.2,7.4,29,0.744,10,14,0.875,2,4,0.4,6,11,0.846,2,0.6113,0.5548,0.7485,2,0.5925,0.6315,2018
93df9b18-e9fc-42a7-bb45-a736c203b4dc,Northeastern Huskies_2018,2018,CAA,other,other,2,automatic,2,13,lowest,4,6.41,13.56,7.12,203.7,75.4,6.15,23.47,29.62,14.1,6.21,2.18,11.21,15.88,0.06,0.91,25.88,0.476,54.35,9.65,0.382,25.24,14,0.751,18.65,16.24,0.558,29.12,28.21,83.21,62.56,0.603,6.47,12.65,8.91,203.7,70.8,7.03,22.97,30,11.9,5.44,2.15,11.26,17.53,0,0.44,26.15,0.46,56.79,6.88,0.337,20.41,11.59,0.735,15.76,19.26,0.529,36.38,31.91,74.12,63.73,0.555,1,1,0,0,13,7,8,200,53,7,17,24,7,8,3,10,12,0,4,16,0.281,57,6,0.214,28,15,0.75,20,10,0.345,29,16,39,65.8,17,12,15,200,87,9,33,42,12,6,4,12,19,0,3,34,0.557,61,8,0.364,22,11,0.917,12,26,0.667,39,50,111,66.28,-34,23,0.676,11,11,0.846,2,8,0.571,6,4,0.571,3,0.5433,0.5061,0.6987,3,0.5309,0.5729,2018
fae4855b-1b64-4b40-a632-9ed345e1e952,Kansas Jayhawks_2018,2018,Big 12,Big 12,power 6,1,at-large,1,4,high,1,9.33,14.83,10.94,202.1,75.7,9.33,26.19,35.53,13.3,6.75,3.86,13.42,17,0.14,3.39,27.47,0.465,59.11,7.22,0.35,20.64,13.53,0.705,19.19,20.25,0.526,38.47,35.28,84.39,67.56,0.56,7.36,13.17,9,202.1,70.1,9.39,23.06,32.44,13.2,6.58,3.42,12.94,17.22,0.03,3.94,24.94,0.408,61.14,8.58,0.335,25.58,11.67,0.686,17,16.36,0.46,35.56,26.5,71.28,68.62,0.511,2,2,0.6931471806,1,13.5,11.5,13.5,200,81,10.5,28,38.5,12.5,5,2.5,14,18,0,3,30.5,0.508,60,7,0.341,20.5,13,0.867,15,23.5,0.595,39.5,45,94,66.6,22.5,14.5,7.5,200,71,6.5,18,24.5,12,8.5,3,8.5,16.5,0,2.5,24,0.407,59,9.5,0.328,29,13.5,0.771,17.5,14.5,0.483,30,24,71.5,66.7,10,26,0.722,10,17,1,0,3,0.273,8,6,0.75,2,0.6693,0.5686,0.75,2,0.6357,0.6643,2018
